Company_Name,Category,Product_Name
Siemens,PLC,SIMATIC S7-1200
Siemens,PLC,SIMATIC S7-1500
Siemens,PLC,SIMATIC S7-1500 Controller
Siemens,PLC,SIMATIC S7-400
Siemens,PLC,SIMATIC S7-300
Siemens,PLC,SIMATIC Drive Controller
Siemens,IO System,SIMATIC ET 200SP
Siemens,IO System,SIMATIC ET 200pro
Siemens,RTU,SIMATIC RTU3000C
Siemens,HMI,SIMATIC HMI KTP400 
Siemens,HMI,SIMATIC HMI KTP700
Siemens,HMI,SIMATIC HMI KTP900
Siemens,HMI,SIMATIC HMI KTP1200
Siemens,HMI,SIMATIC HMI KTP400F
Siemens,HMI,SIMATIC HMI KTP700F
Siemens,HMI,SIMATIC HMI KTP900F
Siemens,HMI,SIMATIC HMI KP8
Siemens,HMI,SIMATIC HMI KP400
Siemens,HMI,SIMATIC HMI TP400
Siemens,HMI,SIMATIC HMI KP700
Siemens,HMI,SIMATIC HMI TP700
Siemens,HMI,SIMATIC HMI KP900
Siemens,HMI,SIMATIC HMI TP900
Siemens,HMI,SIMATIC HMI KP1200
Siemens,HMI,SIMATIC HMI TP1200
Siemens,HMI,SIMATIC HMI KP1500
Siemens,HMI,SIMATIC HMI TP1500
Siemens,HMI,SIMATIC HMI TP2200
Schneider Electric,HMI,Magelis STO
Schneider Electric,HMI,Magelis GTO
Schneider Electric,HMI,Magelis XBT N
Schneider Electric,HMI,Magelis XBT GK
Schneider Electric,Gateway,Switch,FactoryCast
Schneider Electric,Gateway,Switch,Modicon TSX Micro ETZ - TR
Schneider Electric,Gateway,Switch,Modicon ConneXium
Schneider Electric,PLC ve Diğer ürünler,Modicon M221
Schneider Electric,PLC ve Diğer ürünler,Modicon M241
Schneider Electric,PLC ve Diğer ürünler,Modicon M251
Schneider Electric,PLC ve Diğer ürünler,Modicon M262
Schneider Electric,PLC ve Diğer ürünler,Modicon M258
Schneider Electric,PLC ve Diğer ürünler,Modicon M340
Schneider Electric,PLC ve Diğer ürünler,Modicon M580 - ePac
Schneider Electric,PLC ve Diğer ürünler,Harmony Preventa XPS MF
Schneider Electric,PLC ve Diğer ürünler,Harmony Preventa XPS MC
Schneider Electric,PLC ve Diğer ürünler,Modicon TM3
Schneider Electric,PLC ve Diğer ürünler,Modicon TM5
Schneider Electric,PLC ve Diğer ürünler,Modicon Advantys STB
Schneider Electric,PLC ve Diğer ürünler,Modicon TM7
Schneider Electric,PLC ve Diğer ürünler,Modicon Quantum
Schneider Electric,PLC ve Diğer ürünler,Modicon Advantys OTB
Moxa,Switches,EDS-2005-EL
Moxa,Switches,EDS-2005-ELP
Moxa,Switches,EDS-2008-EL 
Moxa,Switches,EDS-2008-ELP
Moxa,Switches,EDS-205
Moxa,Switches,EDS-208
Moxa,Switches,EDS-205A
Moxa,Switches,EDS-208A
Moxa,Switches,EDS-2010-ML
Moxa,Switches,EDS-2016-ML
Moxa,Switches,EDS-2018-ML
Moxa,Switches,EDS-G205
Moxa,Switches,EDS-G205A
Moxa,Switches,EDS-P206A
Moxa,Switches,EDS-305
Moxa,Switches,EDS-308
Moxa,Switches,EDS-309
Moxa,Switches,EDS-316
Moxa,Switches,EDS-G308
Moxa,Switches,TN-5305
Moxa,Switches,TN-5308
Moxa,Switches,EDS-828
Moxa,Switches,IKS-G6824A
Moxa,Switches,ICS-G7826A
Moxa,Switches,ICS-G7828A
Moxa,Switches,ICS-G7848A
Moxa,Switches,ICS-G7850A
Moxa,Switches,ICS-G7852A
Moxa,Switches,IM-G7000A
Moxa,Switches,PT-7828
Moxa,Switches,PM-7200
Moxa,Switches,PM-7500
Moxa,Switches,PT-G7828
Moxa,Switches,LM-7000H
Moxa,Switches,TN-5800A
Moxa,Switches,SDS-3008
Moxa,Switches,EDS-405A
Moxa,Switches,EDS-408A
Moxa,Switches,EDS-505A
Moxa,Switches,EDS-508A
Moxa,Switches,EDS-510A
Moxa,Switches,EDS-516A
Moxa,Switches,EDS-518A
Moxa,Switches,EDS-510E
Moxa,Switches,EDS-518E
Moxa,Switches,EDS-528E
Moxa,Switches,EDS-G508E
Moxa,Switches,EDS-G509
Moxa,Switches,EDS-G512E
Moxa,Switches,EDS-G516E
Moxa,Switches,EDS-P510
Moxa,Switches,EDS-P510A
Moxa,Switches,EDS-P506E
Moxa,Switches,MDS-G4012
Moxa,Switches,MDS-G4020
Moxa,Switches,MDS-G4028
Moxa,PLC,EDS-608
Moxa,PLC,EDS-611
Moxa,PLC,EDS-616
Moxa,PLC,EDS-619
Moxa,PLC,CM-600
Moxa,PLC,EDS-728
Moxa,PLC,IKS-6726A
Moxa,PLC,IKS-6728A
Moxa,PLC,IM-6700A
Moxa,PLC,IKS-G6524A
Moxa,PLC,ICS-G7526A
Moxa,PLC,ICS-G7528A
Moxa,PLC,ICS-G7748A
Moxa,PLC,ICS-G7750A
Moxa,PLC,ICS-G7752A
Moxa,PLC,IM-G7000A
Moxa,PLC,PT-508
Moxa,PLC,PT-510
Moxa,PLC,PT-G503
Moxa,PLC,PT-7528
Moxa,PLC,PT-7710
Moxa,PLC,PT-7728
Moxa,PLC,PM-7200
Moxa,PLC,PM-7500
Moxa,PLC,PT-G7509
Moxa,PLC,PT-G7728
Moxa,PLC,LM-7000H
Moxa,PLC,TN-4500A
Moxa,PLC,TN-5500A
Moxa,PLC,TN-G6500
